Symbol,Sector,Industry,NoEmployees,Profile
AES,Utilities,Utilities - Diversified,9600,The AES Corporation together with its subsidiaries operates as a diversified power generation and utility company in the United States and internationally The company owns andor operates power plants to generate and sell power to customers such as utilities industrial users and other intermediaries owns andor operates utilities to generate or purchase distribute transmit and sell electricity to enduser customers in the residential commercial industrial and governmental sectors and generates and sells electricity on the wholesale market It uses various fuels and technologies to generate electricity such as coal gas hydro wind solar and biomass as well as renewables comprising energy storage and landfill gas The company owns andor operates a generation portfolio of approximately 34596 megawatts and distributes power to 26 million customers The company was formerly known as Applied Energy Services Inc and changed its name to The AES Corporation in April 2000 The AES Corporation was incorporated in 1981 and is headquartered in Arlington Virginia
AESI,Energy,Oil & Gas Equipment & Services,490,Atlas Energy Solutions Inc engages in the production processing and sale of mesh and sand that are used as a proppant during the well completion process in the Permian Basin of Texas and New Mexico The company provides transportation and logistics storage solutions and contract labor services It sells its products and services to oil and natural gas exploration and production companies and oilfield services companies Atlas Energy Solutions Inc was founded in 2017 and is headquartered in Austin Texas
AFG,Financial Services,Insurance - Property & Casualty,None,American Financial Group Inc an insurance holding company provides specialty property and casualty insurance products in the United States The company offers property and transportation insurance products such as physical damage and liability coverage for buses and trucks inland and ocean marine agriculturalrelated products and other commercial property and specialty transportation coverages specialty casualty insurance including primarily excess and surplus executive and professional liability general liability umbrella and excess liability and specialty coverage in targeted markets as well as customized programs for small to midsized businesses and workers compensation insurance and specialty financial insurance products comprising risk management insurance programs for lending and leasing institutions fidelity and surety products and trade credit insurance It sells its property and casualty insurance products through independent insurance agents and brokers The company was founded in 1872 and is headquartered in Cincinnati Ohio
AFGB,None,None,None,None
AFGC,None,None,None,None
AFGD,None,None,None,None
AFGE,None,None,None,None
AFL,Financial Services,Insurance - Life,None,Aflac Incorporated through its subsidiaries provides supplemental health and life insurance products The company operates through Aflac Japan and Aflac US segments The Aflac Japan segment offers cancer medical nursing care work leave GIFT and whole and term life insurance products as well as WAYS and child endowment plans under saving type insurance products in Japan The Aflac US segment provides cancer accident shortterm disability critical illness hospital indemnity dental vision longterm care and disability and term and whole life insurance products in the United States It sells its products through sales associates brokers independent corporate agencies individual agencies and affiliated corporate agencies Aflac Incorporated was founded in 1955 and is headquartered in Columbus Georgia
AFRM,Technology,Software - Infrastructure,2006,Affirm Holdings Inc operates payment network in the United States Canada and internationally The companys platform includes pointofsale payment solution for consumers merchant commerce solutions and a consumerfocused app Its commerce platform agreements with originating banks and capital markets partners enables consumers to pay for a purchase over time The company has active merchants covering small businesses large enterprises directtoconsumer brands brickandmortar stores and companies with an omnichannel presence Its merchants represent a range of industries including sporting goods and outdoors home and lifestyle travel and ticketing electronics fashion and beauty equipment and auto and general merchandise Affirm Holdings Inc was founded in 2012 and is headquartered in San Francisco California
AFYA,Consumer Defensive,Education & Training Services,None,Afya Limited operates as a medical education group in Brazil The company operates through three segments Undergrad Continuing Education and Digital Services It offers educational products and services including medical schools medical residency preparatory courses graduate courses and other programs to lifelong medical learners enrolled across its distribution network as well as to thirdparty medical schools The company provides digital health services such as subscriptionbased mobile app and website portal that focuses on assisting health professionals and students with clinical decisionmaking through tools such as medical calculators charts and updated content as well as prescriptions clinical scores medical procedures and laboratory exams and others It offers health sciences courses which comprise medicine dentistry nursing radiology psychology pharmacy physical education physiotherapy nutrition and biomedicine and degree programs and courses in other subjects and disciplines including undergraduate and post graduate courses in business administration accounting law civil engineering industrial engineering and pedagogy In addition the company provides medical postgraduate specialization programs printed and digital content and an online medical education platform and practical medical training services Further it offers iClinic a practice management software educational health and medical imaging solutions through an interactive platform Cliquefarma a freetouse website that tracks prescription drugs cosmetics and personal hygiene product prices Shosp a clinical management software RX PRO a solution that connects physicians with the pharmaceutical industry and Glic a free diabetes care and management app solution for physicians and patients The company was founded in 1999 and is headquartered in Nova Lima Brazil
AG,Basic Materials,Silver,None,First Majestic Silver Corp engages in the acquisition exploration development and production of mineral properties with a focus on silver and gold production in North America Its projects include the San Dimas mine covering an area of approximately 71867 hectares located in Durango State Mexico the Santa Elena that covers an area of approximately 102244 hectares located in Sonora State Mxico and the La Encantada covering an area of approximately 4076 hectares located in Coahuila State Mxico The company was formerly known as First Majestic Resource Corp and changed its name to First Majestic Silver Corp in November 2006 First Majestic Silver Corp was incorporated in 1979 and is headquartered in Vancouver Canada
AGCO,Industrials,Farm & Heavy Construction Machinery,None,AGCO Corporation manufactures and distributes agricultural equipment and related replacement parts worldwide It offers horsepower tractors for row crop production soil cultivation planting land leveling seeding and commercial hay operations utility tractors for small and mediumsized farms as well as for dairy livestock orchards and vineyards and compact tractors for small farms specialty agricultural industries landscaping equestrian and residential uses The company also provides grain storage bins and related drying and handling equipment systems seedprocessing systems swine and poultry feed storage and delivery ventilation and watering systems and egg production systems and broiler production equipment In addition it offers round and rectangular balers loader wagons selfpropelled windrowers forage harvesters disc mowers spreaders rakes tedders and mower conditioners for harvesting and packaging vegetative feeds used in the beef cattle dairy horse and renewable fuel industries Further the company provides implements including disc harrows leveling seed beds and mixing chemicals with the soils heavy tillage to break up soil and mix crop residue into topsoil field cultivators that prepare smooth seed bed and destroy weeds drills for small grain seeding planters and other planting equipment and loaders Additionally it offers combines for harvesting grain crops such as corn wheat soybeans and rice and application equipment such as selfpropelled three and fourwheeled vehicles and related equipment for liquid and dry fertilizers and crop protection chemicals and for after crops emerge from the ground as well as produces diesel engines gears and generating sets The company markets its products under the Fendt GSI Massey Ferguson Precision Planting and Valtra brands through a network of independent dealers and distributors AGCO Corporation was founded in 1990 and is headquartered in Duluth Georgia
AGI,Basic Materials,Gold,None,Alamos Gold Inc engages in the acquisition exploration development and extraction of precious metals in Canada and Mexico The company primarily explores for gold deposits It holds 100 interest in the YoungDavidson mine and Island Gold mine located in the Ontario Canada Mulatos mine located in the Sonora Mexico and Lynn Lake project situated in the Manitoba Canada The company also holds interest in the Quartz Mountain project located in the Oregon United states Alamos Gold Inc was founded in 2003 and is based in Toronto Canada
AGIO,Healthcare,Biotechnology,486,Agios Pharmaceuticals Inc a biopharmaceutical company discovers and develops medicines in the field of cellular metabolism in the United States Its lead product includes PYRUKYND mitapivat an activator of wildtype and mutant pyruvate kinase PK enzymes used for the treatment of hemolytic anemias in adults with PK deficiency The companys PYRUKYND product also used for the treatment of sickle cell disease that is in phase 3 clinical trial for the treatment of PK deficiency in pediatric patients and for the treatment of adult patients with nontransfusion dependent and transfusiondependent alpha or betathalassemia In addition it develops tebapivat a PK activator for the treatment of lowerrisk myelodysplastic syndrome and hemolytic anemias AG181 a phenylalanine hydroxylase stabilizer for the treatment of phenylketonuria PKU and AG236 an siRNA inlicensed from Alnylam targeting the transmembrane serine protease 6 TMPRSS6 gene for the treatment of polycythemia vera Agios Pharmaceuticals Inc was incorporated in 2007 and is headquartered in Cambridge Massachusetts
AGM,Financial Services,Credit Services,185,Federal Agricultural Mortgage Corporation provides a secondary market for various loans made to borrowers in the United States It operates through four segments Corporate AgFinance Farm  Ranch Rural Utilities and Renewable Energy The companys Agricultural Finance line of business engages in purchasing and retaining eligible loans and securities guaranteeing the payment of principal and interest on securities that represent interests in or obligations secured by pools of eligible loans servicing eligible loans and issuing LTSPCs for eligible loans Its Rural Infrastructure Finance line of business is involved in the purchase of rural utilities loans and renewable energy loans and guarantees of securities backed by loans as well as LTSPCs for pools of eligible rural utilities loans by loans for electric or telecommunications facilities by lenders organized as cooperatives to borrowers and other financial institutions that are secured by pools of eligible loans Federal Agricultural Mortgage Corporation was incorporated in 1987 and is headquartered in Washington the District of Columbia
AGNC,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGNCL,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGNCM,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGNCN,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGNCO,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGNCP,Real Estate,REIT - Mortgage,None,AGNC Investment Corp provides private capital to housing market in the United States It invests in residential mortgage passthrough securities and collateralized mortgage obligations for which the principal and interest payments are guaranteed by the United States governmentsponsored enterprise or by the United States government agency The company qualifies as a real estate investment trust for federal income tax purposes It generally would not be subject to federal corporate income taxes if it distributes at least 90 of its taxable income to its stockholders The company was formerly known as American Capital Agency Corp and changed its name to AGNC Investment Corp in September 2016 AGNC Investment Corp was incorporated in 2008 and is headquartered in Bethesda Maryland
AGO,Financial Services,Insurance - Specialty,350,Assured Guaranty Ltd together with its subsidiaries provides credit protection products to public finance infrastructure and structured finance markets in the United States and internationally It operates through two segments Insurance and Asset Management The company offers financial guaranty insurance that protects holders of debt instruments and other monetary obligations from defaults in scheduled payments It insures and reinsures various debt obligations including bonds issued by the United States state governmental authorities and notes issued to finance infrastructure projects In addition the company insures and reinsures various the US public finance obligations such as general obligation taxbacked municipal utility transportation healthcare higher education infrastructure housing revenue investorowned utility renewable energy and other public finance bonds Further the company involved in insuring and reinsuring of nonUS public finance obligations comprising regulated utilities infrastructure finance sovereign and subsovereign renewable energy bonds pooled infrastructure and other public finance obligations and the US and nonUS Structured finance obligations including residential mortgagebacked securities life insurance transactions consumer receivables securities subscription finance facilities pooled corporate obligations and financial products Additionally it offers specialty business such as real estate properties insurance securitizations and aircraft residual value insurance RVI transactions and asset management services comprising investment advisory services It markets its financial guaranty insurance directly to issuers and underwriters of public finance and structured finance securities as well as to investors in such obligations Assured Guaranty Ltd was incorporated in 2003 and is headquartered in Hamilton Bermuda
AGX,Industrials,Engineering & Construction,1214,Argan Inc through its subsidiaries provides engineering procurement construction commissioning maintenance project development and technical consulting services to the power generation market The company operates through Power Services Industrial Services and Telecom Services segments The Power Services segment offers engineering procurement and construction as well as designing building and commissioning of largescale energy projects to the owners of alternative energy facilities such as biomass plants wind farms and solar fields and design construction project management startup and operation services for projects with approximately 18 gigawatts of powergenerating capacity This segment serves independent power project owners public utilities power plant equipment suppliers and other commercial firms The Industrial Services segment provides industrial construction and field services and vessel fabrication services for fertilizer engineering and construction forest products and various other industrial companies in southeast region of the United States The Telecom Services segment offers trenchless directional boring and excavation for underground communication and power networks as well as aerial cabling services and installs buried cable high and low voltage electric lines and private area outdoor lighting systems It also provides structured cabling terminations and connectivity that offers the physical transport for highspeed data voice video and security networks This segment serves electricity cooperative state and local government agencies counties and municipalities and technologyoriented government contracting firms as well as federal government facilities in the midAtlantic region of the United States Argan Inc was incorporated in 1961 and is headquartered in Rockville Maryland
AGYS,Technology,Software - Application,1900,Agilysys Inc operates as a developer and marketer of softwareenabled solutions and services to the hospitality industry in North America Europe the AsiaPacific and India It offers software solutions fully integrated with third party hardware and operating systems cloud applications support and maintenance subscription and maintenance and professional services The companys hospitality software solutions include hospitality experience cloud offers solution ecosystems that combine core operational systems for property management pointofsale POS and inventory and procurement and Hospitality Solution Studios Its food and beverage ecosystem solutions comprise InfoGenesis POS IG Kiosk IG Flex IG KDS IG OnDemand IG Fly IG Quick Pay IG Smart Menu IG Digital Menu Board IG PanOptic AIpowered selfcheckout kiosk Pay a payment processing solution eCash for cashless tender gift card solution and Analyze a cloudbased data analytic platform The companys inventory and procurement ecosystem solutions include Eatec solution and Stratton Warren System LMS a onpremise or hosted web and mobileenabled PMS solution Versa a hospitality solution and Stay a cloudnative SaaS property management system Its hospitality and leisure and experience enhancer solutions comprise Book Express Kiosk and Express Mobile for checkin and checkout Spa software Golf Sales  Catering Service Authorize DataMagine Reserve solution Digital Marketing solution Retail POS solution Central Reservations Loyalty  Promotions Membership Residence Management and Guest App It serves hotels resorts and cruise lines casinos corporate food service management restaurants universities stadiums and healthcare The company was formerly known as PioneerStandard Electronics Inc and changed its name to Agilysys Inc in 2003 Agilysys Inc was founded in 1932 and is headquartered in Alpharetta Georgia
AHCO,Healthcare,Medical Devices,10700,AdaptHealth Corp together with its subsidiaries sells home medical equipment HME medical supplies and home and related services in the United States The company provides sleep therapy equipment supplies and related services such as CPAP and biPAP services to individuals suffering from obstructive sleep apnea medical devices and supplies including continuous glucose monitors and insulin pumps for the treatment of diabetes HME to patients discharged from acute care and other facilities oxygen and related chronic therapy services in the home and other HME devices and supplies on behalf of chronically ill patients with wound care urological incontinence ostomy and nutritional supply needs It also offers wheelchairs hospital beds oxygen concentrators CPAP masks and related supplies wound care supplies diabetes management supplies wheelchair cushion accessories orthopedic bracing breast pumps and supplies walkers commodes and canes and nutritional and incontinence supplies The company services beneficiaries of Medicare Medicaid and commercial insurance payors The company is headquartered in Plymouth Meeting Pennsylvania
AHR,Real Estate,REIT - Healthcare Facilities,114,American Healthcare REIT Inc is a selfmanaged real estate investment trust that acquires owns and operates a diversified portfolio of clinical healthcare real estate properties focusing primarily on outpatient medical buildings senior housing skilled nursing facilities and other healthcarerelated facilities Its properties are located in 36 states the United Kingdom and the Isle of Man
AI,Technology,Software - Application,891,C3ai Inc operates as an enterprise artificial intelligence AI software company in North America Europe the Middle East Africa the Asia Pacific and internationally The company provides C3 AI platform an application development and runtime environment that enables customers to design develop and deploy enterprise AI applications C3 AI CRM Suite an industry specific customer relationship management solution and C3 Generative AI that enables to locate retrieve present information disparate data stores applications and enterprise information systems It also offers C3 AI applications including C3 AI Inventory Optimization that analyzes variability across demand supply and production and optimizes inventory levels C3 AI Supply Network Risk which identifies emerging inbound and outbound risks across the network C3 AI Sustainability Suite which helps to decrease greenhouse gas emission C3 AI Production Schedule Optimization a solution for scheduling production C3 AI Financial Services Suite which helps to minimize compliance risks and C3 AI Energy Management solution In addition it offers enterprise AI applications for oil and gas chemicals utilities manufacturing financial services government defense intelligence aerospace retail transportation healthcare and telecommunications market It has strategic partnerships with Google Cloud AWS Microsoft Azure Baker Hughes Booz Allen Raytheon FIS and others The company was formerly known as C3 IoT Inc and changed its name to C3ai Inc in June 2019 C3ai Inc was incorporated in 2009 and is headquartered in Redwood City California
AIG,Financial Services,Insurance - Diversified,22200,American International Group Inc offers insurance products for commercial institutional and individual customers in North America and internationally It operates through three segments North America Commercial International Commercial and Global Personal The company provides commercial and industrial property insurance including business interruption and package insurance that cover exposure to made and natural disasters general liability environmental commercial automobile liability workers compensation excess casualty and crisis management insurance products and professional liability insurance It also offers marine energyrelated property insurance aviation political risk trade credit trade finance and portfolio solutions voluntary and sponsorpaid personal accident and supplemental health products and personal auto and homeowners extended warranty device protection insurance home warranty and related services and insurance for high networth individuals Further the company provides mortgage and other loans receivable includes commercial mortgages life insurance policy loans and commercial loans The company was founded in 1919 and is headquartered in New York New York
AIN,Consumer Cyclical,Textile Manufacturing,5600,Albany International Corp together with its subsidiaries engages in the machine clothing and engineered composites businesses The company operates in two segments Machine Clothing MC and Albany Engineered Composites AEC The MC segment designs manufactures and markets paper machine clothing for use in the manufacturing of papers paperboards tissues towels pulps nonwovens building products tannery and textiles as well as fiber cement and several other industrial applications This segment offers paper machine clothing forming pressing and drying fabrics as well as engineered processing belts and engineered fabrics The AEC segment 3Dwoven and injected composite components for aircraft engines composite airframe and engine components for military and commercial aircraft It operates in the United States Switzerland France Brazil China Mexico Germany and internationally The company was incorporated in 1895 and is headquartered in Rochester New Hampshire
AIR,Industrials,Aerospace & Defense,5700,AAR Corp provides products and services to commercial aviation government and defense markets worldwide The Parts Supply segment leases and sells aircraft components and replacement parts The Repair  Engineering segment provides airframe maintenance services such as airframe inspection painting line maintenance airframe modification structural repair avionics service and installation exterior and interior refurbishment and engineering and support services component repair services comprising maintenance repair and overhaul MRO services engine and airframe accessories and interior refurbishment and landing gear overhaul services including repair services on wheels and brakes This segment also develops specific aircraft components and parts and designs proprietary designated engineering representative repairs The Integrated Solutions segment engages in the fleet management and operation of customerowned aircraft provision of supply chain logistics services such as material planning sourcing logistics information and program management and parts and component repair and overhaul services and flight hour component inventory and repair services In addition the segment provides integrated software solutions comprising Trax a cloudbased electronic enterprise resource platform as well as a suite of paperless mobility apps for automating MRO workflows The Expeditionary Services segment designs manufactures and repairs transportation pallets and containers and shelters for military and humanitarian tactical deployment activities including armories supply and parts storage refrigeration systems tactical operation centers briefing rooms laundry and kitchen facilities water treatment and sleeping quarters as well as engages in provision of engineering design and system integration services for specialized command and control systems AAR Corp was founded in 1951 and is headquartered in Wood Dale Illinois
AIT,Industrials,Industrial Distribution,6916,Applied Industrial Technologies Inc distributes industrial motion power control and automation technology solutions in the United States Canada Mexico Australia New Zealand Singapore and Costa Rica It operates in two segments Service Center Based Distribution and Engineered Solutions The company distributes bearings power transmission products engineered fluid power components and systems specialty flow control solutions advanced automation products industrial rubber products linear motion components automation solutions tools safety products oilfield supplies and other industrial and maintenance supplies and motors belting drives couplings pumps hydraulic and pneumatic components filtration supplies valves fittings process instrumentation actuators and hoses filtration supplies as well as other related supplies for general operational needs of customers machinery and equipment It also operates fabricated rubber shops and service field crews that install modify and repair conveyor belts and rubber linings as well as offer hose assemblies In addition the company provides technical support services engages in the distribution of fluid power and industrial flow control products advanced automation solutions including machine vision robotics motion control and smart technologies It distributes industrial products through a network of service centers The company serves various industries including agriculture and food processing cement chemicals and petrochemicals fabricated metals forest products industrial machinery and equipment life sciences mining oil and gas primary metals technology transportation and utilities as well as government entities The company was formerly known as Bearings Inc and changed its to name to Applied Industrial Technologies Inc in 1997 The company was founded in 1923 and is headquartered in Cleveland Ohio
AIV,Real Estate,REIT - Residential,61,Aimco is a diversified real estate company primarily focused on value add and opportunistic investments targeting the US multifamily sector Aimcos mission is to make real estate investments where outcomes are enhanced through our human capital so that substantial value is created for investors teammates and the communities in which we operate Aimco is traded on the New York Stock Exchange as AIV
AIZ,Financial Services,Insurance - Property & Casualty,None,Assurant Inc together with its subsidiaries provides business services that supports protects and connects consumer purchases in North America Latin America Europe and the Asia Pacific The company operates through two segments Global Lifestyle and Global Housing The Global Lifestyle segment offers mobile device solutions and extended service contracts and related services for consumer electronics and appliances and credit and other insurance products and vehicle protection commercial equipment and other related services The Global Housing segment provides lenderplaced homeowners manufactured housing and flood insurance renters insurance and related products and voluntary manufactured housing and condominium and homeowners insurance products The company was formerly known as Fortis Inc and changed its name to Assurant Inc in February 2004 Assurant Inc was founded in 1892 and is headquartered in Atlanta Georgia
AIZN,None,None,None,None
AJG,Financial Services,Insurance Brokers,56000,Arthur J Gallagher  Co together with its subsidiaries provides insurance and reinsurance brokerage consulting and thirdparty propertycasualty claims settlement and administration services to entities and individuals worldwide It operates in Brokerage and Risk Management segments The Brokerage segment offers retail and wholesale insurance and reinsurance brokerage services assists retail brokers and other nonaffiliated brokers in the placement of specialized and hardtoplace insurance and acts as a brokerage wholesaler managing general agent and managing general underwriter for distributing specialized insurance coverages to underwriting enterprises This segment performs activities including marketing underwriting issuing policies collecting premiums appointing and supervising other agents paying claims and negotiating reinsurance and offers services in the areas of insurance and reinsurance placement risk of loss management and management of employer sponsored benefit programs The Risk Management segment provides contract claim settlement and administration services and claims management loss control consulting and insurance property appraisal services The company offers its services through a network of correspondent brokers and consultants It serves commercial industrial public religious and nonprofit entities as well as underwriting enterprises Arthur J Gallagher  Co was founded in 1927 and is headquartered in Rolling Meadows Illinois
AKAM,Technology,Software - Infrastructure,10748,Akamai Technologies Inc provides cloud computing security and content delivery services in the United States and internationally The company offers cloud solutions to keep infrastructure websites applications application programming interfaces and users safe from various cyberattacks and online threats while enhancing performance It also provides web and mobile performance solutions to enable dynamic websites and applications media delivery solutions including video streaming and video player services game and software delivery broadcast operations authoritative domain name system resolution and data and analytics and cloud computing services such as compute storage networking database and container management services to build deploy and secure applications and workloads In addition the company offers content delivery solutions and an array of service and support to assist customers with integrating configuring optimizing and managing its offerings It sells its solutions through various channel partners Akamai Technologies Inc was incorporated in 1998 and is headquartered in Cambridge Massachusetts
AKR,Real Estate,REIT - Retail,129,Acadia Realty Trust is an equity real estate investment trust focused on delivering longterm profitable growth via its dual  Core Portfolio and Fund  operating platforms and its disciplined locationdriven investment strategy Acadia Realty Trust is accomplishing this goal by building a bestinclass core real estate portfolio with meaningful concentrations of assets in the nations most dynamic corridors making profitable opportunistic and valueadd investments through its series of discretionary institutional funds and maintaining a strong balance sheet
AKRO,Healthcare,Biotechnology,60,Akero Therapeutics Inc together with its subsidiary engages in the development of treatments for patients with serious metabolic diseases in the United States The companys lead product candidate is efruxifermin EFX which is in Phase 3 clinical trials that protects against cellular stress and regulates the metabolism of lipids carbohydrates and proteins throughout the body for the treatment of biopsyconfirmed metabolic dysfunctionassociated steatohepatitis MASH patients It has a license agreement with Amgen Inc to develop manufacture use distribute and sell EFX as a treatment for MASH and other metabolic diseases The company was formerly known as Pippin Pharmaceuticals Inc and changed its name to Akero Therapeutics Inc in May 2018 Akero Therapeutics Inc was incorporated in 2017 and is headquartered in South San Francisco California
AL,Industrials,Rental & Leasing Services,165,Air Lease Corporation an aircraft leasing company engages in the purchase and leasing of commercial jet aircraft to airlines in the Asia Pacific Europe the Middle east Africa Mexico Central America South America the United States and Canada It sells aircraft from its fleet to third parties including other leasing companies financial services companies airlines and other investors The company provides fleet management services to investors and owners of aircraft portfolios As of December 31 2024 it owned a fleet of 489 aircraft including 355 narrowbody aircraft and 134 widebody aircraft Air Lease Corporation was incorporated in 2010 and is headquartered in Los Angeles California
ALAB,Technology,Semiconductors,440,Astera Labs Inc designs manufactures and sells semiconductorbased connectivity solutions for cloud and AI infrastructure It offers an intelligent connectivity platform comprised of semiconductorbased mixedsignal connectivity products that integrate a matrix of microcontrollers and sensors and COSMOS The company provides COSMOS software suite a connectivity system management and optimization software that enables management and optimization of resources for large fleets at cloudscale via link fleet and RAS management capabilities In addition it offers PCIeCXL smart DSP retimers and cable modules ethernet smart cable modules for cloud and AI infrastructure CXL memory connectivity controllers and smart fabric switches The company serves hyperscalers and system original equipment manufacturers Astera Labs Inc was incorporated in 2017 and is based in Santa Clara California
ALB,Basic Materials,Specialty Chemicals,8300,Albemarle Corporation provides energy storage solutions worldwide It operates through three segments Energy Storage Specialties and Ketjen The Energy Storage segment offers lithium compounds including lithium carbonate lithium hydroxide and lithium chloride for use in lithium batteries used in consumer electronics and electric vehicles power grids and solar panels high performance greases specialty glass used in consumer appliances and electronics organic synthesis processes in the areas of steroid chemistry and vitamins and various life science applications as well as intermediates in the pharmaceutical industry technical services including handling and use of reactive lithium products and recycling services for lithiumcontaining byproducts The Specialties segment provides bromine and highly specialized lithium solutions for various industries such as energy mobility connectivity and health comprising fire safety compounds brominebased specialty chemicals products including elemental bromine alkyl bromides inorganic bromides brominated powdered activated carbon and various bromine fine chemicals lithium specialties such as butyllithium and lithium aluminum hydride cesium products for the chemical and pharmaceutical industries and zirconium barium and titanium products for pyrotechnical applications that include airbag initiators The Ketjen segment offers clean fuels technologies including hydroprocessing catalysts together with isomerization and akylation catalysts fluidized catalytic cracking catalysts and additives and performance catalyst solutions comprising organometallics and curatives It serves grid storage automotive aerospace conventional energy electronics construction agriculture and food pharmaceuticals and medical device industries Albemarle Corporation was founded in 1887 and is headquartered in Charlotte North Carolina
ALC,Healthcare,Medical Instruments & Supplies,25000,Alcon Inc researches develops manufactures distributes and sells eye care products for eye care professionals and their patients worldwide The companys Surgical segment offers equipment instrumentation and diagnostics intraocular lenses IOLs and other implantables and consumables including viscoelastics surgical solutions incisional instruments surgical custom packs and other products for surgical procedures Its cataract products include Centurion vision system LenSx laser system ARGOS biometer LuxOR surgical ophthalmic microscope SMARTCATARACT health platform NGENUITY 3D visualization system Verion reference unit and Verion digital marker and ORA system for intraoperative measurements custom pak surgical procedure packs vitreoretinal products comprising constellation vision systems procedure packs lasers and handheld microsurgical instruments and grieshaber and MIVS instruments as well as scissors forceps and microinstruments medical grade vitreous tamponades and Hypervit vitrectomy probes refractive surgery products including WaveLight lasers and Contoura Vision used for LASIK treatment EXPRESS glaucoma filtration device and implantable products including AcrySof IQ products such as monofocal IOLs and advanced technology IOLs for the correction of presbyopia and astigmatism at the time of cataract surgery Its Vision Care segment provides daily disposable reusable and colorenhancing contact lenses ocular health products such as dry eye glaucoma contact lens care and ocular allergies and ocular vitamins and redness relievers The company was formerly known as Alcon Universal SA and changed its name to Alcon Inc in December 2001 Alcon Inc was founded in 1945 and is headquartered in Geneva Switzerland
ALE,Utilities,Utilities - Diversified,1564,ALLETE Inc operates as an energy company The company operates in two segments Regulated Operations and ALLETE Clean Energy It generates electricity from coalfired biomass cofirednatural gas hydro wind and solar The company also provides regulated utility electric services in northeastern Minnesota to approximately 150000 retail customers and 14 nonaffiliated municipal customers in Minnesota and regulated utility electric natural gas and water services in northwestern Wisconsin to approximately 15000 electric customers 13000 natural gas customers and 10000 water customers In addition it owns and maintains electric transmission assets in Wisconsin Michigan Minnesota and Illinois Further the company focuses on acquiring developing and operating clean and renewable energy projects and owns develops and operates approximately 1600 megawatts of wind energy generation facility as well as involved in the coal mining operations in North Dakota and real estate investment activities in Florida It owns and operates 154 substations with a total capacity of 10647 megavoltamperes The company serves taconite mining paper pulp and secondary wood products pipeline and other industries The company was formerly known as Minnesota Power Inc and changed its name to ALLETE Inc in May 2001 ALLETE Inc was incorporated in 1906 and is headquartered in Duluth Minnesota
ALEX,Real Estate,REIT - Retail,101,Alexander  Baldwin Inc NYSE ALEX AB is the only publiclytraded real estate investment trust to focus exclusively on Hawaii commercial real estate and is the states largest owner of groceryanchored neighborhood shopping centers AB owns operates and manages approximately 39 million square feet of commercial space in Hawaii including 22 retail centers 13 industrial assets and four office properties as well as 1420 acres of ground lease assets AB is expanding and strengthening its CRE portfolio and achieving its strategic focus on commercial real estate in Hawaii Over its 154year history AB has evolved with the states economy and played a leadership role in the development of the agricultural transportation tourism construction residential and commercial real estate industries
